;route_id;route_short_name;route_sekop_id
0;305;1;405
1;1338;2;582
2;1329;3;367
3;306;6;407
4;345;7;119
5;346;8;327
6;307;9;137
7;1306;11;236
8;385;12;1039
9;1292;13;253
10;228;15;15005
11;1265;20;489
12;225;22;235
13;229;24;15133
14;1674;26;15135
15;230;27;398
16;1347;31;237
17;232;33;354
18;1316;39;14
19;325;40;355
20;1504;46;356
21;1278;49;15156
22;1255;50;15157
23;1734;54;15162
24;1303;56;302
25;1736;59;15570
26;1550;61;15171
27;370;65;15103
28;364;74;303
29;1740;76;15187
30;233;77;127
31;1180;80;516
32;1621;81;215
33;332;86;1026
34;1582;87;388
35;1247;90;1044
36;1747;91;15203
37;386;92;128
38;337;93;402
39;446;100;15212
40;234;102;22
41;235;106;329
42;236;107;2455
43;1245;114;224
44;1318;115;1036
45;388;118;132
46;237;123;331
47;331;127;510
48;1600;128;348
49;1288;130;142
50;238;132;15243
51;239;133;15244
52;7915;134;15560
53;224;136;508
54;226;137;454
55;384;140;134
56;1860;141;15251
57;1326;142;87
58;335;143;15253
59;240;153;15262
60;1301;157;135
61;2032;158;15268
62;1603;161;396
63;1323;165;387
64;328;171;512
65;334;172;392
66;336;178;393
67;3219;180;15291
68;1689;181;15292
69;3667;184;15295
70;1324;186;15297
71;1246;187;1049
72;1251;190;15300
73;1293;195;193
74;1300;196;15102
75;4195;198;16011
76;1294;200;15007
77;7630;203;18067
78;1266;210;709
79;7381;228;15333
80;3155;300;15408
81;1291;326;15590
82;1360;327;15430
83;4056;328;16009
84;1298;356;465
85;1302;359;34
86;3790;375;15470
87;424;397;15487
88;327;398;314
89;1342;115А;15006
90;8409;127М;18033
91;8629;136М;18069
92;1274;13А;15588
93;1260;145А;15592
94;8689;145Э;18070
95;6042;169А;16058
96;4696;187А;16038
97;8569;197А;18057
98;4896;356Ш;16037
99;3791;375А;15674
100;4162;39Э;15587
