ï»¿2022-04-08 ; 14:26:41 ; logd ; INFO ;  log ; "Смена файла по достижении предельного размера. Версия: 20220331-690-PA_armel. Сборка: 690. Ветка: PA"
2022-04-08 ; 14:26:42 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:26:42 ; consoled ; INFO ; modem ; "трафик in 0  out 65 байт"
2022-04-08 ; 14:26:43 ; paypassreaders ; INFO ; tryConnectErizo ; "connected = NO"
2022-04-08 ; 14:26:43 ; paypassreaders ; INFO ; tryConnectErizo ; "connected!!!"
2022-04-08 ; 14:26:43 ; paypassreaders ; INFO ; erizoState ; "сам модуль 1, хост 1, черный список 0"
2022-04-08 ; 14:26:43 ; paypassreaders ; INFO ; queryTime ; "154"
2022-04-08 ; 14:26:43 ; paypassreaders ; INFO ; readerState ; "SAM1 - AV2 без ключей, SAM2 - МКЭБ, BT - Да, Number - 10"
2022-04-08 ; 14:26:43 ; paypassreaders ; INFO ; readerState ; "SAM1 - AV2 без ключей, SAM2 - МКЭБ, BT - Нет, Number - 11"
2022-04-08 ; 14:26:43 ; paypassreaders ; INFO ; readerState ; "SAM1 - AV2 без ключей, SAM2 - МКЭБ, BT - Нет, Number - 12"
2022-04-08 ; 14:26:43 ; paypassreaders ; INFO ; readerState ; "SAM1 - AV2 без ключей, SAM2 - МКЭБ, BT - Нет, Number - 13"
2022-04-08 ; 14:26:43 ; paypassreaders ; INFO ; readerState ; "SAM1 - AV2 без ключей, SAM2 - МКЭБ, BT - Нет, Number - 14"
2022-04-08 ; 14:26:43 ; wifid ; INFO ; wifid ; "Could not find G21"
2022-04-08 ; 14:26:43 ; networkd ; INFO ; setWifiStatus ; "Old wifistate 0, new status 0, WF_done=1111111111"
2022-04-08 ; 14:26:43 ; paypassreaders ; INFO ; btRebootDevice ; "Перезагрузка Bluetooth: УСПЕХ"
2022-04-08 ; 14:26:43 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:26:43 ; paypassreaders ; INFO ; ConfigureV2 ; "Запрос конфигурации ридера №11; попытка 1"
2022-04-08 ; 14:26:44 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected: NO"
2022-04-08 ; 14:26:44 ; paypassreaders ; INFO ; ConfigureV2 ; "Erizo connected!!!"
2022-04-08 ; 14:26:44 ; paypassreaders ; INFO ; ConfigureV2 ; "Получена конфигурация для ридера №11"
2022-04-08 ; 14:26:44 ; paypassreaders ; INFO ; ConfigureV2 ; "Ридер №11. Команд конфигурации: 0"
2022-04-08 ; 14:26:44 ; paypassreaders ; INFO ; ConfigureV2 ; "Finished!"
2022-04-08 ; 14:26:44 ; paypassreaders ; INFO ; bt ; "Connecting to MAC 886b0ff0f424"
2022-04-08 ; 14:26:44 ; consoled ; INFO ; modem ; "трафик in 0  out 0 байт"
2022-04-08 ; 14:26:44 ; gprssender ; ERROR ; openConnection ; "Ошибка соединения: Socket operation timed out"
2022-04-08 ; 14:26:45 ; consoled ; INFO ; modem ; "трафик in 0  out 65 байт"
2022-04-08 ; 14:26:46 ; paypassreaders ; INFO ; GPRS ; "GPRS status changed to OFF"
