;0;1;5
228;2022-04-08 ; 03:12:35 ;" ""Пришла координата: $GPRMC,001233.000,A,5952.69800,N,03020.78604,E,0.0,0.0,080422,,,A*61"""
280;2022-04-08 ; 03:13:00 ;" ""Пришла координата: $GPRMC,001258.000,A,5952.69415,N,03020.78044,E,0.1,0.0,080422,,,A*67"""
374;2022-04-08 ; 03:13:23 ;" ""Пришла координата: $GPRMC,001323.000,A,5952.69703,N,03020.78165,E,0.0,0.0,080422,,,A*6D"""
458;2022-04-08 ; 03:13:48 ;" ""Пришла координата: $GPRMC,001348.000,A,5952.69681,N,03020.78110,E,0.0,0.0,080422,,,A*69"""
540;2022-04-08 ; 03:14:13 ;" ""Пришла координата: $GPRMC,001413.000,A,5952.69720,N,03020.78083,E,0.1,0.0,080422,,,A*60"""
618;2022-04-08 ; 03:14:38 ;" ""Пришла координата: $GPRMC,001438.000,A,5952.69736,N,03020.78096,E,0.0,0.0,080422,,,A*6B"""
708;2022-04-08 ; 03:15:03 ;" ""Пришла координата: $GPRMC,001503.000,A,5952.69736,N,03020.78096,E,0.0,0.0,080422,,,A*62"""
785;2022-04-08 ; 03:15:28 ;" ""Пришла координата: $GPRMC,001528.000,A,5952.69751,N,03020.78089,E,0.0,0.0,080422,,,A*64"""
881;2022-04-08 ; 03:15:53 ;" ""Пришла координата: $GPRMC,001553.000,A,5952.69767,N,03020.78093,E,0.0,0.0,080422,,,A*66"""
959;2022-04-08 ; 03:16:18 ;" ""Пришла координата: $GPRMC,001618.000,A,5952.69767,N,03020.78093,E,0.0,0.0,080422,,,A*6A"""
1045;2022-04-08 ; 03:16:43 ;" ""Пришла координата: $GPRMC,001643.000,A,5952.69776,N,03020.78133,E,0.1,0.0,080422,,,A*6E"""
1128;2022-04-08 ; 03:17:08 ;" ""Пришла координата: $GPRMC,001708.000,A,5952.69776,N,03020.78133,E,0.0,0.0,080422,,,A*61"""
1223;2022-04-08 ; 03:17:31 ;" ""Пришла координата: $GPRMC,001731.000,A,5952.69785,N,03020.78116,E,0.1,0.0,080422,,,A*61"""
1315;2022-04-08 ; 03:17:53 ;" ""Пришла координата: $GPRMC,001753.000,A,5952.69409,N,03020.77486,E,0.4,24.7,080422,,,A*55"""
1388;2022-04-08 ; 03:18:18 ;" ""Пришла координата: $GPRMC,001818.000,A,5952.68890,N,03020.77528,E,4.4,174.5,080422,,,A*6F"""
1479;2022-04-08 ; 03:18:43 ;" ""Пришла координата: $GPRMC,001843.000,A,5952.68022,N,03020.77896,E,0.1,0.0,080422,,,A*6E"""
1558;2022-04-08 ; 03:19:08 ;" ""Пришла координата: $GPRMC,001908.000,A,5952.67985,N,03020.77913,E,0.1,0.0,080422,,,A*67"""
1641;2022-04-08 ; 03:19:33 ;" ""Пришла координата: $GPRMC,001933.000,A,5952.67985,N,03020.77913,E,0.0,0.0,080422,,,A*6E"""
1728;2022-04-08 ; 03:19:58 ;" ""Пришла координата: $GPRMC,001958.000,A,5952.67950,N,03020.77857,E,0.0,0.0,080422,,,A*6A"""
1811;2022-04-08 ; 03:20:23 ;" ""Пришла координата: $GPRMC,002023.000,A,5952.67585,N,03020.78392,E,6.6,152.9,080422,,,A*6A"""
1889;2022-04-08 ; 03:20:48 ;" ""Пришла координата: $GPRMC,002048.000,A,5952.65941,N,03020.85966,E,9.2,71.2,080422,,,A*52"""
1970;2022-04-08 ; 03:21:13 ;" ""Пришла координата: $GPRMC,002113.000,A,5952.66306,N,03020.88607,E,1.6,72.6,080422,,,A*59"""
2060;2022-04-08 ; 03:21:38 ;" ""Пришла координата: $GPRMC,002138.000,A,5952.60067,N,03021.00984,E,26.9,152.4,080422,,,A*5C"""
2147;2022-04-08 ; 03:22:03 ;" ""Пришла координата: $GPRMC,002203.000,A,5952.42192,N,03021.17125,E,20.5,165.0,080422,,,A*53"""
2231;2022-04-08 ; 03:22:28 ;" ""Пришла координата: $GPRMC,002228.000,A,5952.37265,N,03021.05072,E,7.6,255.3,080422,,,A*66"""
2323;2022-04-08 ; 03:22:53 ;" ""Пришла координата: $GPRMC,002253.000,A,5952.30385,N,03021.07093,E,3.3,163.4,080422,,,A*6F"""
2404;2022-04-08 ; 03:23:18 ;" ""Пришла координата: $GPRMC,002318.000,A,5952.28435,N,03021.08274,E,10.4,157.6,080422,,,A*50"""
2502;2022-04-08 ; 03:23:43 ;" ""Пришла координата: $GPRMC,002343.000,A,5952.23799,N,03021.10359,E,4.0,159.8,080422,,,A*66"""
2586;2022-04-08 ; 03:24:08 ;" ""Пришла координата: $GPRMC,002408.000,A,5952.23626,N,03021.11171,E,0.0,0.0,080422,,,A*63"""
2673;2022-04-08 ; 03:24:33 ;" ""Пришла координата: $GPRMC,002433.000,A,5952.23646,N,03021.11225,E,0.0,0.0,080422,,,A*6F"""
2758;2022-04-08 ; 03:24:58 ;" ""Пришла координата: $GPRMC,002458.000,A,5952.23646,N,03021.11225,E,0.1,0.0,080422,,,A*63"""
2847;2022-04-08 ; 03:25:23 ;" ""Пришла координата: $GPRMC,002523.000,A,5952.23627,N,03021.11251,E,0.0,0.0,080422,,,A*6B"""
2939;2022-04-08 ; 03:25:48 ;" ""Пришла координата: $GPRMC,002548.000,A,5952.23627,N,03021.11251,E,0.0,0.0,080422,,,A*66"""
3024;2022-04-08 ; 03:26:13 ;" ""Пришла координата: $GPRMC,002613.000,A,5952.23625,N,03021.11262,E,0.0,0.0,080422,,,A*69"""
3114;2022-04-08 ; 03:26:38 ;" ""Пришла координата: $GPRMC,002638.000,A,5952.23591,N,03021.11255,E,0.0,0.0,080422,,,A*68"""
3205;2022-04-08 ; 03:27:03 ;" ""Пришла координата: $GPRMC,002703.000,A,5952.23591,N,03021.11255,E,0.1,0.0,080422,,,A*60"""
3286;2022-04-08 ; 03:27:28 ;" ""Пришла координата: $GPRMC,002728.000,A,5952.23598,N,03021.11229,E,0.1,0.0,080422,,,A*6B"""
3382;2022-04-08 ; 03:27:53 ;" ""Пришла координата: $GPRMC,002753.000,A,5952.23627,N,03021.11238,E,0.0,0.0,080422,,,A*61"""
3465;2022-04-08 ; 03:28:18 ;" ""Пришла координата: $GPRMC,002818.000,A,5952.23627,N,03021.11238,E,0.0,0.0,080422,,,A*61"""
3555;2022-04-08 ; 03:28:43 ;" ""Пришла координата: $GPRMC,002843.000,A,5952.23624,N,03021.11183,E,0.1,0.0,080422,,,A*6E"""
3642;2022-04-08 ; 03:29:08 ;" ""Пришла координата: $GPRMC,002908.000,A,5952.23624,N,03021.11183,E,0.1,0.0,080422,,,A*60"""
3733;2022-04-08 ; 03:29:33 ;" ""Пришла координата: $GPRMC,002933.000,A,5952.23633,N,03021.11214,E,0.0,0.0,080422,,,A*62"""
3821;2022-04-08 ; 03:29:58 ;" ""Пришла координата: $GPRMC,002958.000,A,5952.23648,N,03021.11201,E,0.0,0.0,080422,,,A*67"""
3907;2022-04-08 ; 03:30:23 ;" ""Пришла координата: $GPRMC,003023.000,A,5952.23648,N,03021.11201,E,0.1,0.0,080422,,,A*62"""
3994;2022-04-08 ; 03:30:48 ;" ""Пришла координата: $GPRMC,003048.000,A,5952.23633,N,03021.11168,E,0.0,0.0,080422,,,A*6E"""
4081;2022-04-08 ; 03:31:13 ;" ""Пришла координата: $GPRMC,003113.000,A,5952.23050,N,03021.12526,E,0.1,0.0,080422,,,A*6E"""
4166;2022-04-08 ; 03:31:38 ;" ""Пришла координата: $GPRMC,003138.000,A,5952.23050,N,03021.12526,E,0.1,0.0,080422,,,A*67"""
4263;2022-04-08 ; 03:32:03 ;" ""Пришла координата: $GPRMC,003203.000,A,5952.23069,N,03021.12638,E,0.0,0.0,080422,,,A*6B"""
4350;2022-04-08 ; 03:32:28 ;" ""Пришла координата: $GPRMC,003228.000,A,5952.23061,N,03021.12702,E,0.1,0.0,080422,,,A*63"""
4435;2022-04-08 ; 03:32:53 ;" ""Пришла координата: $GPRMC,003253.000,A,5952.23061,N,03021.12702,E,0.0,0.0,080422,,,A*6E"""
4520;2022-04-08 ; 03:33:18 ;" ""Пришла координата: $GPRMC,003318.000,A,5952.23078,N,03021.12688,E,0.0,0.0,080422,,,A*6B"""
4614;2022-04-08 ; 03:33:43 ;" ""Пришла координата: $GPRMC,003343.000,A,5952.23078,N,03021.12688,E,0.0,0.0,080422,,,A*65"""
4701;2022-04-08 ; 03:34:08 ;" ""Пришла координата: $GPRMC,003408.000,A,5952.23074,N,03021.12698,E,0.1,0.0,080422,,,A*61"""
4786;2022-04-08 ; 03:34:33 ;" ""Пришла координата: $GPRMC,003433.000,A,5952.23076,N,03021.12703,E,0.1,0.0,080422,,,A*68"""
4877;2022-04-08 ; 03:34:58 ;" ""Пришла координата: $GPRMC,003458.000,A,5952.23076,N,03021.12703,E,0.0,0.0,080422,,,A*64"""
4963;2022-04-08 ; 03:35:23 ;" ""Пришла координата: $GPRMC,003523.000,A,5952.23059,N,03021.12644,E,0.0,0.0,080422,,,A*66"""
5049;2022-04-08 ; 03:35:48 ;" ""Пришла координата: $GPRMC,003548.000,A,5952.23052,N,03021.12644,E,0.0,0.0,080422,,,A*60"""
5140;2022-04-08 ; 03:36:13 ;" ""Пришла координата: $GPRMC,003613.000,A,5952.23052,N,03021.12644,E,0.0,0.0,080422,,,A*6D"""
5227;2022-04-08 ; 03:36:38 ;" ""Пришла координата: $GPRMC,003638.000,A,5952.23041,N,03021.12591,E,0.0,0.0,080422,,,A*6D"""
5320;2022-04-08 ; 03:37:03 ;" ""Пришла координата: $GPRMC,003703.000,A,5952.22578,N,03021.13346,E,1.3,127.1,080422,,,A*60"""
5398;2022-04-08 ; 03:37:28 ;" ""Пришла координата: $GPRMC,003728.000,A,5952.22478,N,03021.13703,E,0.0,0.0,080422,,,A*6A"""
5494;2022-04-08 ; 03:37:53 ;" ""Пришла координата: $GPRMC,003753.000,A,5952.22447,N,03021.13664,E,0.1,0.0,080422,,,A*6B"""
5577;2022-04-08 ; 03:38:18 ;" ""Пришла координата: $GPRMC,003818.000,A,5952.22447,N,03021.13664,E,0.1,0.0,080422,,,A*6B"""
5670;2022-04-08 ; 03:38:43 ;" ""Пришла координата: $GPRMC,003843.000,A,5952.22416,N,03021.13655,E,0.1,0.0,080422,,,A*63"""
5760;2022-04-08 ; 03:39:08 ;" ""Пришла координата: $GPRMC,003908.000,A,5952.22437,N,03021.13688,E,0.0,0.0,080422,,,A*6F"""
5843;2022-04-08 ; 03:39:33 ;" ""Пришла координата: $GPRMC,003933.000,A,5952.22437,N,03021.13688,E,0.0,0.0,080422,,,A*67"""
5933;2022-04-08 ; 03:39:59 ;" ""Пришла координата: $GPRMC,003958.000,A,5952.22448,N,03021.13698,E,0.0,0.0,080422,,,A*63"""
6021;2022-04-08 ; 03:40:23 ;" ""Пришла координата: $GPRMC,004023.000,A,5952.22448,N,03021.13698,E,0.1,0.0,080422,,,A*60"""
6110;2022-04-08 ; 03:40:48 ;" ""Пришла координата: $GPRMC,004048.000,A,5952.22446,N,03021.13711,E,0.0,0.0,080422,,,A*62"""
6193;2022-04-08 ; 03:41:13 ;" ""Пришла координата: $GPRMC,004113.000,A,5952.22438,N,03021.13685,E,0.1,0.0,080422,,,A*69"""
6283;2022-04-08 ; 03:41:38 ;" ""Пришла координата: $GPRMC,004138.000,A,5952.22438,N,03021.13685,E,0.0,0.0,080422,,,A*61"""
6377;2022-04-08 ; 03:42:03 ;" ""Пришла координата: $GPRMC,004203.000,A,5952.22473,N,03021.13644,E,0.0,0.0,080422,,,A*68"""
6459;2022-04-08 ; 03:42:28 ;" ""Пришла координата: $GPRMC,004228.000,A,5952.22497,N,03021.13647,E,0.1,0.0,080422,,,A*69"""
6554;2022-04-08 ; 03:42:53 ;" ""Пришла координата: $GPRMC,004253.000,A,5952.22371,N,03021.15563,E,0.1,0.0,080422,,,A*69"""
6635;2022-04-08 ; 03:43:18 ;" ""Пришла координата: $GPRMC,004318.000,A,5952.22371,N,03021.15563,E,0.1,0.0,080422,,,A*67"""
6727;2022-04-08 ; 03:43:44 ;" ""Пришла координата: $GPRMC,004343.000,A,5952.22390,N,03021.15588,E,0.0,0.0,080422,,,A*62"""
6813;2022-04-08 ; 03:44:08 ;" ""Пришла координата: $GPRMC,004408.000,A,5952.22385,N,03021.15580,E,0.0,0.0,080422,,,A*66"""
6907;2022-04-08 ; 03:44:33 ;" ""Пришла координата: $GPRMC,004433.000,A,5952.22385,N,03021.15580,E,0.1,0.0,080422,,,A*6F"""
6985;2022-04-08 ; 03:44:58 ;" ""Пришла координата: $GPRMC,004458.000,A,5952.22378,N,03021.15586,E,0.1,0.0,080422,,,A*66"""
7079;2022-04-08 ; 03:45:23 ;" ""Пришла координата: $GPRMC,004523.000,A,5952.22378,N,03021.15586,E,0.0,0.0,080422,,,A*6A"""
7171;2022-04-08 ; 03:45:48 ;" ""Пришла координата: $GPRMC,004548.000,A,5952.22359,N,03021.15572,E,0.0,0.0,080422,,,A*6F"""
7248;2022-04-08 ; 03:46:13 ;" ""Пришла координата: $GPRMC,004613.000,A,5952.22312,N,03021.15590,E,0.0,0.0,080422,,,A*61"""
7344;2022-04-08 ; 03:46:38 ;" ""Пришла координата: $GPRMC,004638.000,A,5952.22312,N,03021.15590,E,0.1,0.0,080422,,,A*69"""
7437;2022-04-08 ; 03:47:03 ;" ""Пришла координата: $GPRMC,004703.000,A,5952.22296,N,03021.15590,E,0.0,0.0,080422,,,A*6C"""
7518;2022-04-08 ; 03:47:28 ;" ""Пришла координата: $GPRMC,004728.000,A,5952.22401,N,03021.16054,E,4.1,54.8,080422,,,A*5F"""
7608;2022-04-08 ; 03:47:53 ;" ""Пришла координата: $GPRMC,004753.000,A,5952.23349,N,03021.16822,E,0.1,0.0,080422,,,A*6D"""
7716;2022-04-08 ; 03:48:18 ;" ""Пришла координата: $GPRMC,004818.000,A,5952.23357,N,03021.16838,E,0.0,0.0,080422,,,A*68"""
7828;2022-04-08 ; 03:48:43 ;" ""Пришла координата: $GPRMC,004843.000,A,5952.23357,N,03021.16838,E,0.0,0.0,080422,,,A*66"""
7937;2022-04-08 ; 03:49:08 ;" ""Пришла координата: $GPRMC,004908.000,A,5952.23360,N,03021.16737,E,0.0,0.0,080422,,,A*6C"""
8050;2022-04-08 ; 03:49:33 ;" ""Пришла координата: $GPRMC,004933.000,A,5952.23360,N,03021.16737,E,0.0,0.0,080422,,,A*64"""
8157;2022-04-08 ; 03:49:58 ;" ""Пришла координата: $GPRMC,004958.000,A,5952.23380,N,03021.16651,E,0.0,0.0,080422,,,A*66"""
8268;2022-04-08 ; 03:50:23 ;" ""Пришла координата: $GPRMC,005023.000,A,5952.23396,N,03021.16637,E,0.0,0.0,080422,,,A*65"""
8374;2022-04-08 ; 03:50:48 ;" ""Пришла координата: $GPRMC,005048.000,A,5952.23396,N,03021.16637,E,0.0,0.0,080422,,,A*68"""
8489;2022-04-08 ; 03:51:13 ;" ""Пришла координата: $GPRMC,005113.000,A,5952.23380,N,03021.16650,E,0.0,0.0,080422,,,A*61"""
8594;2022-04-08 ; 03:51:38 ;" ""Пришла координата: $GPRMC,005138.000,A,5952.23403,N,03021.16622,E,0.0,0.0,080422,,,A*61"""
8698;2022-04-08 ; 03:52:03 ;" ""Пришла координата: $GPRMC,005203.000,A,5952.24042,N,03021.12931,E,9.1,274.0,080422,,,A*6C"""
8785;2022-04-08 ; 03:52:28 ;" ""Пришла координата: $GPRMC,005228.000,A,5952.32484,N,03021.06635,E,18.0,344.8,080422,,,A*59"""
8873;2022-04-08 ; 03:52:53 ;" ""Пришла координата: $GPRMC,005253.000,A,5952.38486,N,03021.17796,E,15.3,75.4,080422,,,A*66"""
8959;2022-04-08 ; 03:53:18 ;" ""Пришла координата: $GPRMC,005318.000,A,5952.51872,N,03021.11211,E,30.2,334.7,080422,,,A*5F"""
9049;2022-04-08 ; 03:53:43 ;" ""Пришла координата: $GPRMC,005343.000,A,5952.70444,N,03020.93729,E,20.5,333.8,080422,,,A*50"""
9132;2022-04-08 ; 03:54:08 ;" ""Пришла координата: $GPRMC,005408.000,A,5952.90430,N,03020.80669,E,31.4,343.7,080422,,,A*5B"""
9245;2022-04-08 ; 03:54:33 ;" ""Пришла координата: $GPRMC,005433.000,A,5953.12905,N,03020.68201,E,35.0,348.2,080422,,,A*51"""
9337;2022-04-08 ; 03:54:58 ;" ""Пришла координата: $GPRMC,005458.000,A,5953.37322,N,03020.70774,E,36.2,2.8,080422,,,A*5C"""
9411;2022-04-08 ; 03:55:23 ;" ""Пришла координата: $GPRMC,005523.000,A,5953.61569,N,03020.60651,E,33.7,334.7,080422,,,A*55"""
9501;2022-04-08 ; 03:55:48 ;" ""Пришла координата: $GPRMC,005548.000,A,5953.80988,N,03020.47570,E,33.5,357.0,080422,,,A*51"""
9587;2022-04-08 ; 03:56:13 ;" ""Пришла координата: $GPRMC,005613.000,A,5954.04259,N,03020.42712,E,32.9,346.0,080422,,,A*5E"""
9676;2022-04-08 ; 03:56:38 ;" ""Пришла координата: $GPRMC,005638.000,A,5954.22880,N,03020.50607,E,30.6,24.0,080422,,,A*61"""
9769;2022-04-08 ; 03:57:03 ;" ""Пришла координата: $GPRMC,005703.000,A,5954.27878,N,03020.55562,E,0.1,0.0,080422,,,A*6D"""
9851;2022-04-08 ; 03:57:28 ;" ""Пришла координата: $GPRMC,005728.000,A,5954.33131,N,03020.60800,E,27.0,29.5,080422,,,A*60"""
9942;2022-04-08 ; 03:57:53 ;" ""Пришла координата: $GPRMC,005753.000,A,5954.50448,N,03020.77753,E,28.1,18.2,080422,,,A*66"""
10021;2022-04-08 ; 03:58:18 ;" ""Пришла координата: $GPRMC,005818.000,A,5954.57465,N,03020.82928,E,0.1,0.0,080422,,,A*67"""
10117;2022-04-08 ; 03:58:43 ;" ""Пришла координата: $GPRMC,005843.000,A,5954.57763,N,03020.83510,E,9.2,15.5,080422,,,A*51"""
10206;2022-04-08 ; 03:59:08 ;" ""Пришла координата: $GPRMC,005908.000,A,5954.69359,N,03020.91123,E,7.5,9.0,080422,,,A*69"""
10292;2022-04-08 ; 03:59:33 ;" ""Пришла координата: $GPRMC,005933.000,A,5954.70266,N,03020.91923,E,0.1,0.0,080422,,,A*66"""
10377;2022-04-08 ; 03:59:58 ;" ""Пришла координата: $GPRMC,005958.000,A,5954.72708,N,03020.93616,E,18.2,15.8,080422,,,A*69"""
10466;2022-04-08 ; 04:00:23 ;" ""Пришла координата: $GPRMC,010023.000,A,5954.88055,N,03021.02447,E,24.7,16.2,080422,,,A*6E"""
10675;2022-04-08 ; 04:01:22 ;" ""Пришла координата: $GPRMC,010120.000,A,5955.23152,N,03021.24476,E,17.6,15.8,080422,,,A*64"""
10793;2022-04-08 ; 04:01:45 ;" ""Пришла координата: $GPRMC,010145.000,A,5955.37407,N,03021.33897,E,16.5,21.3,080422,,,A*6C"""
10874;2022-04-08 ; 04:02:10 ;" ""Пришла координата: $GPRMC,010210.000,A,5955.40093,N,03021.37257,E,10.5,22.7,080422,,,A*65"""
10961;2022-04-08 ; 04:02:35 ;" ""Пришла координата: $GPRMC,010235.000,A,5955.55916,N,03021.47455,E,27.5,17.8,080422,,,A*6C"""
11053;2022-04-08 ; 04:03:00 ;" ""Пришла координата: $GPRMC,010300.000,A,5955.74485,N,03021.60298,E,30.3,17.7,080422,,,A*62"""
11136;2022-04-08 ; 04:03:25 ;" ""Пришла координата: $GPRMC,010325.000,A,5955.84814,N,03021.64903,E,0.1,0.0,080422,,,A*63"""
11230;2022-04-08 ; 04:03:50 ;" ""Пришла координата: $GPRMC,010350.000,A,5955.84814,N,03021.64903,E,0.1,0.0,080422,,,A*61"""
11312;2022-04-08 ; 04:04:15 ;" ""Пришла координата: $GPRMC,010415.000,A,5955.88077,N,03021.54900,E,24.8,282.4,080422,,,A*55"""
